Price,Property_Type,Building_Age,Tenure,Month,Latitude,Longitude
958000,D,N,F,6,50.8822,-0.3265
185000,F,N,L,9,50.481,-3.5242
385000,S,N,F,3,52.2418,-0.8495
72000,F,N,L,5,53.1904,-2.865
520000,S,N,F,6,55.0209,-1.4235
210000,F,N,L,9,51.2688,1.0812
356000,D,N,F,5,50.6884,-4.5391
172000,S,N,F,7,53.7269,-2.5339
154000,S,N,F,3,50.986,-3.2396
540000,T,N,F,3,51.5524,0.0954
990000,D,N,F,3,51.8295,-0.059
125000,T,N,F,9,52.4916,-1.8485
342000,D,N,F,6,50.6487,-1.1675
410000,F,N,L,2,50.7233,-1.8288
420000,S,N,F,6,51.295,-0.5682
170000,S,N,F,7,53.4817,-2.352
300000,F,N,L,2,51.413,-0.3619
735000,D,N,F,2,52.8258,-1.7143
210000,T,N,F,2,51.089,-2.515
320000,D,N,F,9,53.6222,-2.6
500000,D,N,F,2,52.3624,-0.7409
430000,D,N,F,5,53.8321,-1.6669
360000,D,N,F,6,52.5014,0.9172
325000,S,N,F,2,51.6184,0.518
247000,T,N,F,2,51.7538,0.0979
200000,T,N,F,10,50.7981,-1.1933
295000,D,N,F,9,52.6485,1.2399
385000,D,N,F,6,53.7332,-0.564
228500,S,N,F,9,51.358,0.5315
208500,T,N,F,4,52.3688,-1.2854
381000,T,N,F,11,52.793,1.2373
215000,D,N,F,9,53.048,-1.4147
92000,S,N,F,4,53.8203,-1.7131
445000,D,N,F,2,52.5072,-0.4124
525000,F,N,L,11,51.6563,-0.1543
215000,T,N,F,4,51.5425,-2.419
230000,D,N,F,8,54.1263,-0.776
350000,S,N,F,1,51.8634,0.5351
823000,D,N,F,9,51.8919,-2.3249
298655,S,N,F,9,53.8305,-1.5495
420000,D,N,F,2,52.6173,0.5995
210000,S,N,F,8,53.3143,-2.6947
415000,D,N,F,11,50.6426,-3.4014
126000,T,N,F,11,53.7459,-1.5911
157500,T,N,F,5,52.5006,-0.7219
120000,F,N,L,2,52.8465,-1.3355
108000,T,N,F,11,53.4839,-2.8804
143000,S,N,F,2,53.5076,-1.3767
2895000,D,N,F,6,50.7016,-1.9326
390000,S,N,F,9,51.2905,-0.791
169000,S,N,F,2,52.5045,-0.6368
62500,F,N,L,5,53.4036,-2.1558
255000,F,N,L,6,51.5353,0.1024
67000,T,N,F,9,53.585,-1.1855
4100,O,N,F,1,51.4719,0.0182
465000,D,N,F,2,52.1409,0.7285
201500,S,N,F,5,54.5717,-1.3327
248000,T,N,F,6,52.6721,-1.9781
180000,F,N,L,6,51.7918,-0.6683
120000,T,N,L,3,53.572,-2.4088
315000,D,N,F,8,50.8735,0.5943
500000,D,N,F,1,53.6963,-0.7861
285000,T,N,F,11,50.1513,-5.075
285000,T,N,F,10,51.0251,-0.3442
187500,F,N,L,4,51.6574,-0.3971
446000,S,N,F,9,51.2626,0.5324
265000,T,N,F,3,51.6139,-2.5142
262000,T,N,F,5,51.3907,-1.3316
365000,F,N,L,6,51.6144,-0.1112
480000,O,N,F,7,53.8355,-2.2613
48250,T,N,F,5,54.859,-1.8024
197500,S,N,F,3,53.0062,-2.2348
188000,S,N,F,8,53.7779,-2.3921
462000,D,N,F,5,52.4669,-0.983
270000,T,N,L,4,51.3585,-2.9045
210500,D,N,F,6,55.0756,-1.5378
66000,T,N,F,8,54.9029,-1.5787
186000,F,N,L,9,53.3023,-2.3671
330000,D,N,F,9,53.7362,-2.6855
178500,S,N,F,4,53.4223,-1.3398
650000,D,N,F,9,53.3733,-2.3167
347000,F,N,L,2,52.5747,1.0674
459950,S,N,F,7,53.8606,-1.6189
299000,S,N,F,3,54.9479,-1.6684
287000,S,N,F,5,50.514,-4.8324
330000,T,N,F,3,51.0017,-1.3813
485000,D,N,F,2,52.9828,-1.4925
397500,D,N,L,6,53.5324,-2.7054
81000,F,N,L,8,54.6706,-1.2385
173000,F,N,L,4,51.3304,1.4106
105000,T,N,F,10,52.8031,0.0158
240000,D,N,F,7,53.7546,-1.7777
235000,S,N,F,3,51.9117,-2.083
1429554,O,N,F,7,53.7283,-2.4673
365000,T,N,F,1,51.3675,-0.3087
535000,D,N,F,6,51.3072,-0.2666
288000,F,N,L,9,51.6421,-2.1507
112000,F,N,L,11,51.0722,1.0901
277000,S,N,F,6,50.917,-1.3582
315000,S,N,F,2,51.0241,0.9902
175000,T,N,F,1,51.2025,-2.1894
312000,F,N,L,6,50.9991,-0.1031
435599,D,N,F,3,53.3467,-2.5467
460000,T,N,F,1,51.064,-1.3303
542300,D,N,F,11,52.1542,-0.4545
107500,T,N,F,9,53.4485,-2.0707
310000,T,N,F,7,51.2787,-0.7392
157000,D,N,F,9,54.8305,-1.4558
152000,S,N,F,5,55.0209,-1.6443
535000,D,N,F,4,51.3826,-0.85
290000,T,N,F,3,51.9128,-1.1465
100000,S,N,F,6,54.5663,-1.1531
305000,D,N,F,2,52.4366,-0.8124
82500,S,N,F,6,54.8875,-1.7265
840000,D,N,F,5,50.3429,-3.5753
275000,T,N,F,2,51.3589,1.4413
567000,S,N,F,2,50.9848,-2.8084
377927,T,N,F,6,51.6455,-0.3809
15000,O,N,L,1,51.3218,-0.2041
107000,T,N,F,3,53.2608,-2.4936
110000,F,N,L,1,52.3477,1.311
500000,D,N,F,6,53.7758,-2.502
275000,F,N,L,7,50.8345,-0.1406
1265000,D,N,F,9,53.8683,-1.4656
350000,F,N,L,2,51.6551,-0.523
175000,F,N,L,1,51.3526,1.0304
207500,S,N,F,3,52.6485,-1.0679
315000,S,N,F,6,51.1124,0.8829
317000,T,N,F,9,51.7656,0.1358
403100,S,N,F,6,51.5183,-2.5006
295000,D,N,F,7,53.1458,-0.1456
149000,S,N,F,8,53.427,-2.5024
78000,F,N,L,10,51.9228,-0.1704
232000,F,N,L,4,51.833,-0.8052
535000,D,N,F,6,52.365,0.2438
425000,S,N,F,9,51.7149,0.485
355000,T,N,F,3,51.3902,-0.1173
415000,T,N,F,6,51.3877,-0.2421
156000,T,N,F,3,51.3466,-2.9451
2450000,T,N,F,6,51.5176,-0.2217
134500,T,N,F,4,55.0847,-1.5202
1950000,D,N,F,6,51.9066,-2.071
257000,T,N,F,3,54.4748,-1.1859
165000,T,N,F,5,51.5591,-1.7902
13500,O,N,F,8,50.8235,-0.132
430000,S,N,F,1,53.8285,-1.5174
394000,D,Y,F,8,52.3691,-1.8043
133000,T,N,F,1,52.4995,-0.6833
150000,S,N,F,8,53.0801,-2.1887
525000,D,N,F,12,52.806,-1.5815
220000,S,N,F,2,52.6664,1.2572
275000,F,N,F,2,51.7547,0.4515
150000,F,N,L,7,53.7412,-2.9644
700000,O,N,F,3,55.0049,-1.444
90000,F,N,L,7,50.7921,-0.6024
212500,S,N,F,9,53.3814,-1.3743
